"Claim_Flag","Kids_Drive","Age","Kids_Home","Year_at_Job","Income","Single_Parent","Home_Val","Marital_Status","Gender","Education","Occupation","Travel_Time","Car_Use","Car_Value","Time_in_Force","Car_Type","Old_Claim","Claim_Freq","License_Revoked","Vehicle_Record_Points","Car_Age","Urbanicity"
"0",0,0.415384615384615,0,0.478260869565217,0.249159469253195,0,0.2905876319636,0,1,0.25,0,0.124087591240876,0,0.196951934349355,0,0,0,0,0,0,0.0357142857142857,1
"0",0,0.292307692307692,0.2,0.434782608695652,0.0436994251151132,0,0.140284112858953,1,0,0.25,0.142857142857143,0,1,0.0367819460726846,0.125,0.8,0.67833160930624,0.4,0,0.230769230769231,0.357142857142857,1
"0",0,0.6,0,0.478260869565217,0.161191183282021,0,0.203587105577658,1,1,0.5,0.714285714285714,0.145985401459854,0,0.235932004689332,0.25,1,0.088153303995652,0.4,1,0.230769230769231,0.321428571428571,1
"0",0,0.4,0,0.478260869565217,0.163324523880882,0,0.217113868801128,1,1,0.75,0.571428571428571,0.27007299270073,1,0.185961313012896,0.208333333333333,0,0,0,0,0,0.571428571428571,1
"0",0,0.230769230769231,0.4,0.521739130434783,0.0515026019671417,0,0.105951549901613,1,0,0,0.142857142857143,0.313868613138686,1,0.231975381008206,0.125,0,0,0,0,0,0.25,1
"0",0,0.492307692307692,0,0.608695652173913,0.262305533607607,0,0.319563709642803,1,0,0.75,0.571428571428571,0.226277372262774,1,0.141119577960141,0.208333333333333,0.8,0.144642951066851,0.2,0,0.384615384615385,0.5,1
"0",0,0.261538461538462,0.2,0.565217391304348,0.216892352123805,0,0.255242962129581,1,0,0.5,0.857142857142857,0.160583941605839,1,0.224648300117233,0.333333333333333,0.8,0,0,0,0.153846153846154,0.535714285714286,0
"0",0.25,0.430769230769231,0.4,0.739130434782609,0.123935373130262,0,0.2478057839197,1,1,0.5,0.714285714285714,0.0802919708029197,1,0.30172919109027,0.666666666666667,0,0,0,0,0,0.428571428571429,1
"0",0,0.292307692307692,0,0.347826086956522,0.196695093044165,0,0,0,0,0.5,0.142857142857143,0.153284671532847,1,0.157092614302462,0.208333333333333,0.8,0,0,0,0.230769230769231,0.428571428571429,1
"0",0,0.553846153846154,0,0,0,0,0.0993186351919501,0,0,0.25,1,0.313868613138686,0,0.11400937866354,0,0.8,0,0,0,0.0769230769230769,0.214285714285714,0
"0",0,0.230769230769231,0.2,0.521739130434783,0.0722556739231126,0,0.174512754128063,1,1,0.5,1,0.416058394160584,0,0.0454279015240328,0.208333333333333,0,0,0,0,0.153846153846154,0.178571428571429,1
"0",0,0.4,0,0.478260869565217,0.144369670054219,0,0.199117343400182,1,1,0.25,0,0.138686131386861,0,0.321658851113716,0,0,0,0,0,0.153846153846154,0.392857142857143,0
"0",0,0.615384615384615,0,0.695652173913043,0.121951884042176,0,0.186214110306095,1,1,0.5,0.714285714285714,0.182481751824818,1,0.297039859320047,0.5,0,0,0,0,0,0.214285714285714,1
"0",0.5,0.430769230769231,0.4,0.608695652173913,0.124175135547503,0,0.176918767127311,1,0,0,0,0.160583941605839,1,0,0.125,0.6,0.443150937110998,0.2,0,0.615384615384615,0.285714285714286,1
"0",0,0.461538461538462,0,0.434782608695652,0.216707081165027,0,0,0,0,0.5,0.714285714285714,0.0583941605839416,1,0.183909730363423,0.0833333333333333,0,0,0,1,0.153846153846154,0.392857142857143,1
"0",0,0.461538461538462,0,0.608695652173913,0.145843664005667,0,0.449191331123868,0,1,0.75,0.571428571428571,0.124087591240876,0,0.466295427901524,0.125,0.2,0,0,1,0.0769230769230769,0.428571428571429,1
"0",0,0.430769230769231,0,0.391304347826087,0.203585537966924,0,0.260972209985067,1,0,0.5,0.857142857142857,0.0291970802919708,1,0.324443141852286,0.208333333333333,0,0,0,0,0,0.0357142857142857,1
